# wavelength (nm);intensity
683.4440308;734
683.8609009;654
684.277832;530
684.6947632;425
685.1115723;324
685.5284424;272
685.9452515;229
686.3620605;196
686.7788696;157
687.1955566;121
687.6123047;99
688.0290527;88
688.4457397;73
688.8623657;73
689.2791138;62
689.6956787;57
690.1123047;59
690.5288696;55
690.9454346;52
691.3619995;55
691.7785034;52
692.1950073;44
692.6115112;51
693.0280151;49
693.444397;45
693.8607788;42
694.2772827;48
694.6936035;37
695.1099854;38
695.5262451;29
695.9425659;42
696.3588257;33
696.7751465;27
697.1913452;33
697.607605;28
698.0238037;32
698.4400024;34
698.8561401;28
699.2723389;26
699.6884766;23
700.1044922;17
700.5205688;19
700.9366455;19
701.3526611;19
701.7686768;26
702.1846924;24
702.6005859;19
703.0165405;18
703.4324951;15
703.8483276;16
704.2642212;18
704.6801758;27
705.0959473;12
705.5117798;18
705.9275513;16
706.3433228;12
706.7589722;20
707.1748047;12
707.5903931;18
708.0061035;16
708.421814;11
708.8374023;17
709.2529907;20
709.6685791;12
710.0841675;14
710.4996948;11
710.9152222;7
711.3306885;11
711.7461548;15
712.1616211;12
712.5770264;9
712.9924316;18
713.4078369;6
713.8231812;8
714.2385254;13
714.6538696;9
715.0691528;14
